Pole Index,Coefficients,Status
268,"[array([-2.14223128e+01,  9.27367540e+04]), array([ 1.51948963e+01, -6.57796216e+04])]",Success
269,"[array([-2.13297803e+01,  9.33389148e+04]), array([ 1.51292628e+01, -6.62058813e+04])]",Success
270,"[array([-2.16367398e+01,  9.48982758e+04]), array([ 1.49218895e+01, -6.54471729e+04])]",Success
271,"[array([-2.12380437e+01,  9.34050780e+04]), array([ 1.48910421e+01, -6.54906991e+04])]",Success
273,"[array([-2.14995443e+01,  9.53070390e+04]), array([ 1.48272719e+01, -6.57290786e+04])]",Success
275,"[array([-2.04970547e+01,  9.36706552e+04]), array([ 1.51287785e+01, -6.91391433e+04])]",Success
277,"[array([-2.14487809e+01,  9.86425734e+04]), array([ 1.42188547e+01, -6.53920549e+04])]",Success
279,"[array([-2.09901796e+01,  9.75200604e+04]), array([ 1.46263623e+01, -6.79545622e+04])]",Success
280,[],Success
250,"[array([-2.24958141e+01,  8.81152582e+04]), array([ 1.59563333e+01, -6.25010143e+04])]",Success
254,"[array([-2.18345711e+01,  8.80147728e+04]), array([ 1.59263930e+01, -6.41993871e+04])]",Success
272,"[array([-2.15438827e+01,  9.52663518e+04]), array([ 1.50306158e+01, -6.64655760e+04])]",Success
274,"[array([-2.14518192e+01,  9.56315705e+04]), array([ 1.47943581e+01, -6.59531750e+04])]",Success
276,"[array([-2.07909478e+01,  9.53876525e+04]), array([ 1.47470676e+01, -6.76607644e+04])]",Success
278,"[array([-2.10913012e+01,  9.73357263e+04]), array([ 1.43804326e+01, -6.63658876e+04])]",Success
281,"[array([-2.09609509e+01,  9.73843393e+04]), array([ 1.44245162e+01, -6.70162636e+04])]",Success
282,"[array([-2.08738068e+01,  9.85433794e+04]), array([ 1.45631210e+01, -6.87538678e+04])]",Success
283,"[array([-2.07873768e+01,  9.86355460e+04]), array([ 1.43361219e+01, -6.80254452e+04])]",Success
284,"[array([-2.15041829e+01,  1.02251637e+05]), array([ 1.41732114e+01, -6.73937882e+04])]",Success
285,"[array([-2.07427006e+01,  9.88598720e+04]), array([ 1.41427504e+01, -6.74039647e+04])]",Success
286,"[array([-2.07427006e+01,  9.89635518e+04]), array([ 1.41427504e+01, -6.74746554e+04])]",Success
287,"[array([-2.07427006e+01,  9.91292761e+04]), array([ 1.43053108e+01, -6.83651042e+04])]",Success
288,"[array([-2.10074681e+01,  1.00666908e+05]), array([ 1.40845525e+01, -6.74929496e+04])]",Success
289,"[array([-2.09660810e+01,  1.00887866e+05]), array([ 1.42183768e+01, -6.84191609e+04])]",Success
290,"[array([-2.09213758e+01,  1.00903823e+05]), array([ 1.38692267e+01, -6.68908104e+04])]",Success
291,"[array([-2.04486976e+01,  1.00392461e+05]), array([ 1.41025500e+01, -6.92362665e+04])]",Success
293,"[array([-2.02834630e+01,  1.00788238e+05]), array([ 1.38296338e+01, -6.87193160e+04])]",Success
295,[],Success
296,"[array([-2.00789637e+01,  1.01839182e+05]), array([ 1.38475611e+01, -7.02359757e+04])]",Success
297,"[array([-1.99989713e+01,  1.02254609e+05]), array([ 1.3792394e+01, -7.0520788e+04])]",Success
298,"[array([-1.99608774e+01,  1.02479029e+05]), array([ 1.37661223e+01, -7.06752789e+04])]",Success
299,"[array([-2.02572344e+01,  1.04283566e+05]), array([ 1.37376647e+01, -7.07214290e+04])]",Success
302,"[array([-1.98408836e+01,  1.03469976e+05]), array([ 1.35278752e+01, -7.05477742e+04])]",Success
303,"[array([-2.00977356e+01,  1.05491305e+05]), array([ 1.34746182e+01, -7.07291585e+04])]",Success
292,"[array([-2.03657451e+01,  1.00626270e+05]), array([ 1.40453415e+01, -6.93986398e+04])]",Success
294,"[array([-2.05839494e+01,  1.02775096e+05]), array([ 1.38006024e+01, -6.89061152e+04])]",Success
300,"[array([-1.99196138e+01,  1.02824740e+05]), array([ 1.37376647e+01, -7.09136997e+04])]",Success
301,"[array([-1.98408836e+01,  1.03052808e+05]), array([ 1.36833680e+01, -7.10718329e+04])]",Success
304,"[array([-2.00599245e+01,  1.05895614e+05]), array([ 1.34492676e+01, -7.09988374e+04])]",Success
305,"[array([-2.00189244e+01,  1.06079401e+05]), array([ 1.34217788e+01, -7.11226150e+04])]",Success
306,"[array([-1.95717933e+01,  1.04395877e+05]), array([ 1.33444045e+01, -7.11793486e+04])]",Success
307,"[array([-1.99035186e+01,  1.06483653e+05]), array([ 1.31944674e+01, -7.05903489e+04])]",Success
